time,BinaryProtocol:bytesReadPerSecond,BinaryProtocol:bytesWrittenPerSecond,BinaryProtocol:messagesReadPerSecond,BinaryProtocol:messagesWrittenPerSecond,BinaryProtocol:nAckMessages,BinaryProtocol:nBytesRead,BinaryProtocol:nBytesWritten,BinaryProtocol:nEntriesOldVersion,BinaryProtocol:nGroupAckMessages,BinaryProtocol:nGroupedAcks,BinaryProtocol:nMaxGroupedAcks,BinaryProtocol:nMessageBatches,BinaryProtocol:nMessagesBatched,BinaryProtocol:nMessagesRead,BinaryProtocol:nMessagesWritten,BinaryProtocol:nReadNanos,BinaryProtocol:nWriteNanos,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:fileDeletionBacklog,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,ConsistencyTracker:nLagConsistencyWaitMS,ConsistencyTracker:nLagConsistencyWaits,ConsistencyTracker:nVLSNConsistencyWaitMS,ConsistencyTracker:nVLSNConsistencyWaits,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,FeederManager:nFeedersCreated,FeederManager:nFeedersShutdown,FeederManager:nMaxReplicaLag,FeederManager:nMaxReplicaLagName,FeederManager:replicaDelayMap,FeederManager:replicaLastCommitTimestampMap,FeederManager:replicaLastCommitVLSNMap,FeederManager:replicaVLSNLagMap,FeederManager:replicaVLSNRateMap,FeederTxns:ackWaitMS,FeederTxns:lastCommitTimestamp,FeederTxns:lastCommitVLSN,FeederTxns:totalTxnMS,FeederTxns:txnsAcked,FeederTxns:txnsNotAcked,FeederTxns:vlsnRate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,Replay:latestCommitLagMs,Replay:maxCommitProcessingNanos,Replay:minCommitProcessingNanos,Replay:nAborts,Replay:nCommitAcks,Replay:nCommitNoSyncs,Replay:nCommitSyncs,Replay:nCommitWriteNoSyncs,Replay:nCommits,Replay:nElapsedTxnTime,Replay:nGroupCommitMaxExceeded,Replay:nGroupCommitTimeouts,Replay:nGroupCommitTxns,Replay:nGroupCommits,Replay:nLNs,Replay:nMessageQueueOverflows,Replay:nNameLNs,Replay:totalCommitLagMs,Replay:totalCommitProcessingNanos,VLSNIndex:nBucketsCreated,VLSNIndex:nHeadBucketsDeleted,VLSNIndex:nHits,VLSNIndex:nMisses,VLSNIndex:nTailBucketsDeleted
2020-06-27 15:13:28.385 UTC, , , , , , , , , , , , , , , , , , ,125,3159717,952,13864, , ,3, ,6, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1203,1,566,566,1, ,2,4, ,51,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1593270808098, , , , , , , , , , , , , , , , , , , , ,3145728, , , , ,24,1,25,1,2,1, , ,3,2, , , , , , , ,38,1, , ,2048,1,1213,1, , , , , , , , ,113877728,-1, , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-06-27 15:14:28.389 UTC,0,0,0,0, , , , , , , , , , , , , , ,589,3282925,4064,134816,1792, ,12, ,80, , , , , , , , , ,12,12, , , , ,1,21, ,16, , , , , , , , , , , , , , ,1203,1,566,566, , , , , ,54,54, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1593270808098, , , , , , ,0, , , , , , , ,1593270812516,74, , , ,3053,3145728, , , , ,32,36,461,36,2,37, , ,3,37, , , , , , , , , , , ,4096,2,131328,37, , , , , , ,1,7,96839360,-1, , , , , , ,91, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8, , ,8,8,8, , , , , , , ,0,0, , , , , , , , , , , , , , , , ,1, , , , 
2020-06-27 15:15:12.292 UTC, , , , , , , , , , , , , , , , , , ,589,3281133,4064,134816, , ,12, , , , , , , , , , , ,12,12, , , , ,1,21, , , , , , , , , , , , , , , , ,1203,1,566,566, , , , , ,54,54, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1593270808098, , , , , , , , , , , , , , , , , , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , ,1,21,1,6,75975912,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-06-27 15:27:04.081 UTC, , , , , , , , , , , , , , , , , , ,125,3175669,3144,29816, , ,4, ,86,4,0.05, , , , , , , ,4,4, ,4, ,2,1,6, ,73,19, , , , , , , , , , , , , ,136688,2, ,132643, , , , , ,53,53, , , , , ,17,134, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1593271623775, , , , , , , , , , , , , , , , , , , , ,3145728, , , ,28,0, , , ,2, , , ,3, , , , ,28, ,2048,1, , , , ,365681,71, , , , , , , , , , ,119986760,-1, , , , , , ,67, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-06-27 15:28:04.086 UTC,0,0,0,0, , , , , , , , , , , , , , ,589,3285157,4168,137048,1792, ,13, ,50,9,0.18, , , , , , , ,13,13, , , ,2,1,23, ,48,36, , , , , , , , , , , , , ,136688,2, ,132643, , , , , ,53,53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1593271623775, , , , , , ,0, , , , , , , ,1593271630211,77, , , ,15,3145728, , , ,56,21, ,21, ,3,1, , ,3,1, , , ,56,1, , , , , , ,115604,59,265,2, , , , , , ,1,7,97278928,-1, , , , , , ,64, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8, , , , , , , , , ,0,0, , , , , , , , , , , , , , , , ,1, , , , 
2020-06-27 15:28:55.084 UTC, , , , , , , , , , , , , , , , , , ,589,3283365,4168,137048, , ,13, , , , , , , , , , , ,13,13, , , ,2,1,23, , , , , , , , , , , , , , , , ,136688,2, ,132643, , , , , ,53,53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1593271623775, , , , , , , , , , , , , , , , , , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , ,1,19,1,6,73721888,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-06-27 15:30:10.517 UTC, , , , , , , , , , , , , , , , , , ,125,3175909,3144,30056, , ,4, ,43,4,0.09, , , , , , , ,4,4, ,4, ,2,1,6, ,40,20, , , , , , , , , , , , , ,137962,3, ,137065, , , , , ,53,53, , , , , ,17,148, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1593271810228, , , , , , , , , , , , , , , , , , , , ,3145728, , , ,30,0, , , ,2, , , ,3, , , , ,30, ,2048,1, , , , ,367782,73, , , , , , , , , , ,115949136,-1, , , , , , ,32, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-06-27 15:31:10.523 UTC,0,0,0,0, , , , , , , , , , , , , , ,589,3285397,4168,137288,1792, ,13, ,50,9,0.18, , , , , , , ,13,13, , , ,2,1,23, ,48,36, , , , , , , , , , , , , ,137962,3, ,137065, , , , , ,53,53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1593271810228, , , , , , ,0, , , , , , , ,1593271816639,80, , , ,15,3145728, , , ,56,19, ,19, ,3,1, , ,3,1, , , ,56,1, , , , , , ,115576,59,266,2, , , , ,1,18,2,12,82245896,-1, , , , , , ,64, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8, , , , , , , , , ,0,0, , , , , , , , , , , , , , , , ,1, , , , 
2020-06-27 15:32:10.523 UTC,0,0,0,0, , , , , , , , , , , , , , ,589,3285397,4168,137288,1792, ,13, , , , , , , , , , , ,13,13, , , ,2,1,23, , , , , , , , , , , , , , , , ,137962,3, ,137065, , , , , ,53,53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1593271810228, , , , , , ,0, , , , , , , ,1593271816639,80, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,87135376,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0, , , , , , , , , , , , , , , , , , , , , 
2020-06-27 15:33:10.552 UTC,0,0,0,0, , , , , , , , , , , , , , ,589,3285397,4168,137288,1792, ,13, , , , , , , , , , , ,13,13, , , ,2,1,23, , , , , , , , , , , , , , , , ,137962,3, ,137065, , , , , ,53,53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1593271810228, , , , , , ,0, , , , , , , ,1593271816639,80, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,89148728,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0, , , , , , , , , , , , , , , , , , , , , 
